Station_Id,Address,Long,Lat
254,11 Ave & W 41 St,-73.99884222,40.76030096
255,9 Ave & W 45 St,-73.9912551,40.76019252
257,S 3 St & Bedford Ave,-73.96264403,40.71260486
258,W 15 St & 7 Ave,-73.99931783,40.73935542
259,E 12 St & 3 Ave,-73.98889957,40.73223272
260,W 44 St & 5 Ave,-73.98014437,40.75500254
261,W 37 St & 5 Ave,-73.98338988,40.75038009
263,E 20 St & FDR Drive,-73.97573881,40.73314259
264,W 39 St & 9 Ave,-73.99372222,40.75645824
265,10 Ave & W 28 St,-74.00176802,40.75066386
266,8 Ave & W 33 St,-73.993934,40.751551
268,W 33 St & 7 Ave,-73.99093085,40.75019995
269,W 45 St & 6 Ave,-73.98291153,40.7568001
270,W 26 St & 8 Ave,-73.99723551,40.74734825
271,W 47 St & 10 Ave,-73.99301222,40.76269882
272,E 16 St & 5 Ave,-73.99238967,40.73726186
274,Broadway & W 32 St,-73.98808416,40.74854862
275,Broadway & W 60 St,-73.98191841,40.76915505
276,Broadway & W 51 St,-73.98336183,40.76228826
278,Henry St & Grand St,-73.981346,40.714215
279,E 20 St & Park Ave,-73.98751968,40.73827428
280,1 Ave & E 15 St,-73.98165557,40.73221853
281,6 Ave & W 33 St,-73.98848395,40.74901271
282,E 25 St & 2 Ave,-73.97973776,40.73912601
284,9 Ave & W 22 St,-74.00197139,40.7454973
285,W 51 St & 6 Ave,-73.98042047,40.7606597
286,E 14 St & Avenue B,-73.97772429,40.72938685
287,W 29 St & 9 Ave,-73.99839279,40.7500727
288,W 56 St & 10 Ave,-73.988639,40.768254
290,W 43 St & 10 Ave,-73.99461843,40.76009437
291,E 47 St & 1 Ave,-73.96784384,40.75206862
292,E 41 St & Madison Ave,-73.979782,40.752141
293,E 39 St & 2 Ave,-73.9734419,40.74780373
295,W 52 St & 5 Ave,-73.97648516,40.75992262
296,8 Ave & W 31 St,-73.99481051,40.75044999
297,E 51 St & Lexington Ave,-73.97207836,40.75714758
298,W 38 St & 8 Ave,-73.99138152,40.75466591
